Market Name,Address,Start Date,End Date,Days of Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Open,Close,SNAPEBT,SNAPMATCH,HIP,Latitude,Longitude,Winter,Website,MFM Members
Hingham Farmers Market,"44 Spring St.. Hingham, MA 02043",5/5/2018,11/17/2018,Saturday,0,0,0,0,0,1,0,9:00 AM,1:00 PM,1,1,0,42.232111,-70.876689,0,www.hinghamfarmersmarket.org,1
Holden Farmers Market,"1187 main st, holden,ma 01520",5/1/2018,10/30/2018,Tuesday,0,1,0,0,0,0,0,3:00 PM,6:30 PM,0,,0,42.350353,-71.862059,0,www.facebook.com/holdenfarmersmarket/,1
Hopkinton Farmers Market,Hopkinton Common (corner of Marathon Way and Ash St.),6/10/2018,10/14/2018,Sunday,0,0,0,0,0,0,1,1:00 PM,5:00 PM,1,1,1,42.229975,-71.517714,0,www.hopkintonfarmersmarket.com,1
Kendall Center Farmers Market,"In front of the Marriott on Main St, near the Kendall T",5/16/2018,10/31/2018,"Monday, Wednesday",1,0,1,0,0,0,0,"11:00 AM, -","6:00 PM, -",1,0,0,42.362754,-71.08602,0,kendallsquare.org/play/farmers-market,1
Kendall Square Farmers Market,"500 Broad Canal Street, Cambridge, MA 02142",6/1/2018,9/30/2018,Thursday,0,0,0,1,0,0,0,11:00 AM,2:00 PM,0,,0,42.362978,-71.082085,0,kendallsquare.org/play/farmers-market,1
Kingston Farmer Market,101 Kingston Collection Way,6/3/2018,10/7/2018,1st Sunday of Every Month,0,0,0,0,0,0,1,10:00 AM,2:00 PM,1,,0,41.970604,-70.714088,0,www.farmersmarketkingston.com/,1
Lenox Farmers Market,St. Ann's Parish; 134 Main St Lenox Ma 01240,5/25/2018,9/21/2018,Friday,0,0,0,0,1,0,0,12:30 PM,4:30 PM,1,0,1,42.361184,-73.282287,0,www.lenoxfarmersmarket.com/,1
Lexington Farmers Market,"Fletcher Ave & Mass Ave., Lexington",5/29/2018,10/30/2018,Tuesday,0,1,0,0,0,0,0,2:00 PM,6:30 PM,1,1,1,0,0,0,www.lexingtonfarmersmarket.org,1
Marblehead Farmers Market,"217 Pleasant St, Marblehead,MA 01945",5/26/2018,11/17/2018,Saturday,0,0,0,0,0,1,0,9:00 AM,12:00 PM,1,0,1,42.498144,-70.862113,0,www.marbleheadfm.com,1
Mattapan Square Farmers Market,City Municipal Parking,7/14/2018,10/13/2018,Saturday,0,0,0,0,0,1,0,10:00 AM,1:00 PM,1,,1,0,0,0,www.mattapanfoodandfitness.org,1
Maynard Farmers Market,"Main Street, Mill Pond Parking Lot, Maynard, MA 01754",6/30/2018,9/29/2018,Saturday,0,0,0,0,0,1,0,9:00 AM,1:00 PM,0,0,0,0,0,0,www.maynardfarmersmarket.com/,1
Medford Farmers Market,"Condon Shell, 2501 Mystic Valley Parkway, Medford, MA 02155",6/7/2018,10/25/2018,Thursday,0,0,0,1,0,0,0,3:00 PM,7:00 PM,1,1,1,42.41866,-71.115418,0,www.medfordfarmersmarket.org,1
Melrose Farmers Market,"Bowden Park on W. Emerson at the Cedar Park train station, Melrose, MA",6/7/2018,10/25/2018,Thursday,0,0,0,1,0,0,0,2:00 PM,7:00 PM,1,1,1,0,0,0,www.melrosefarmersmarket.org,1
Milton Farmers Market,"Wharf Park, Milton Village, Milton, MA 02186",6/14/2018,10/25/2018,Thursday,0,0,0,1,0,0,0,1:00 PM,6:00 PM,1,0,1,0,0,0,www.miltonmassfarmersmarket.org,1
Newburyport Farmers Market,"50 Water St, Newburyport MA 01950",5/6/2018,4/28/2019,Sunday,0,0,0,0,0,0,1,9:00 AM,1:00 PM,1,0,1,42.810622,-70.866269,0,www.thenewburyportfarmersmarket.org,1
Newton Farmers Market,"Cold Spring Park, 1200 Beacon St., Newton Highlands",7/10/2018,10/23/2018,Tuesday,0,1,0,0,0,0,0,1:30 PM,6:00 PM,1,0,1,0,0,0,guide.farmfreshri.org/food/farmersmarkets_details.php?market=118,1
Orleans Summer Farmers Market,"21 Old Colony Way, Orleans MA 02653",5/12/2018,8/31/2018,Saturday (May to Aug),0,0,0,0,0,1,0,8:00 AM,12:00 PM,1,1,1,41.786503,-69.9951,0,www.orleansfarmersmarket.com,1
Orleans Fall Farmers Market,"21 Old Colony Way, Orleans MA 02653",9/7/2018,11/17/2018,Saturday,0,0,0,0,0,1,0,9:00 AM,12:00 PM,1,1,1,41.786503,-69.9951,0,www.orleansfarmersmarket.com,1
Petersham Friday Market,Town Common,6/8/2018,10/19/2018,Friday,0,0,0,0,1,0,0,3:00 PM,6:00 PM,0,0,0,0,0,0,www.petershamcommon.com/fridaymarket.htm,1
Revere Farmers Market,"249 Broadway, Revere, MA 02151",7/6/2018,10/5/2018,Friday,0,0,0,0,1,0,0,12:00 PM,4:30 PM,0,0,1,42.407333,-71.013236,0,www.facebook.com/reverefarmersmarket/,1
Rockland Farmers Market,"242 Union St., Rockland MA 02370",6/22/2018,9/14/2018,Friday,0,0,0,0,1,0,0,3:00 PM,6:00 PM,0,0,0,42.128849,-70.915759,0,www.facebook.com/Rockland-Farmers-Market-128740545566/,1
Roslindale Village Winter Farmers Market," Roslindale Sons of Italy Hall, 30 Birch St, Roslindale, MA 02131",1/6/2018,11/17/2018,Saturday,0,0,0,0,0,1,0,10:00 AM,2:00 PM,1,1,1,0,0,1,www.roslindale.net,1
Roslindale Village Summer Farmers Market,"Adams Park, Roslindale MA 02131",6/1/2018,11/17/2018,Saturday,0,0,0,0,0,1,0,9:00 AM,1:30 PM,1,,,42.286674,-71.128473,0,www.roslindale.net,1
Rowley Farmers Market,rowley town common main street,7/8/2018,10/28/2018,Sunday,0,0,0,0,0,0,1,8:00 AM,1:00 PM,0,,0,0,0,0,www.facebook.com/rowleyfarmersmarket,1
Sandwich Farmers Market,"164 MA-6A, Sandwich, MA 02563",6/12/2018,10/16/2018,Tuesday,0,1,0,0,0,0,0,9:00 AM,1:00 PM,1,0,0,41.752744,-70.491492,0,www.sandwichfarmersmarket.com,1
Sheffield Farmers Market,"125 Mains Street, Sheffield, MA 01257",5/25/2018,10/5/2018,Friday,0,0,0,0,1,0,0,3:00 PM,6:30 PM,1,0,0,42.110721,-73.353703,0,www.sheffieldfarmersmarket.org,1
Shrewsbury Farmer Market,100 Maple Ave. Shrewsbury MA 01545,6/13/2018,9/26/2018,Wednesday,0,0,1,0,0,0,0,2:30 PM,6:30 PM,1,,1,42.291809,-71.722456,0,www.shrewsburyfarmersmarket.com,1
South Hadley Farmers Market,"Town Common, South Hadley MA",6/14/2018,10/11/2018,Thursday,0,0,0,1,0,0,0,2:00 PM,6:00 PM,1,1,1,0,0,0,www.southhadleyfarmersmarket.com,1
Sterling Farmers Market,"1 Park St, Sterling MA 01564",5/18/2018,11/1/2018,Friday,0,0,0,0,1,0,0,3:00 PM,6:30 PM,1,,1,42.360868,-71.245212,0,www.facebook.com/SterlingFarmersMarket,1
Swansea Farmers Market @ Stony Creek Farm,"1210 Wilbur Ave, Swansea, Ma 02777",6/3/2018,12/2/2018,Sunday,0,0,0,0,0,0,1,10:00 AM,2:00 PM,1,0,0,41.732259,-71.234313,0,stonycreek-farm.org/swansea-farmers-market-1,1
Wakefield Farmers Market,"Hall Park North Ave, Wakefield MA 01880",6/16/2018,10/13/2018,Saturday,0,0,0,0,0,1,0,9:00 AM,1:00 PM,1,1,1,0,0,0,www.wakefieldfarmersmarket.org,1
Waltham Farmers Market,"119 School Street, Waltham MA",6/9/2018,11/3/2018,Saturday,0,0,0,0,0,1,0,9:30 AM,2:00 PM,1,1,1,42.37855,-71.236365,0,www.walthamfarmersmarket.org,1
West Brookfield Farmers Market,"West Brookfield Town Common, Junction of Rt. 67 and Rt. 9",6/6/2018,10/10/2018,Wednesday,0,0,1,0,0,0,0,3:00 PM,6:00 PM,1,0,1,42.236622,-72.138092,0,www.facebook.com/West-Brookfield-Farmers-Market-101180833272025/,1
Williamstown Farmers Market,"Spring Street Parking Lot, Williamstown, MA",5/19/2018,10/13/2018,Saturday,0,0,0,0,0,1,0,9:00 AM,1:00 PM,0,0,0,39.695311,-74.999871,0,www.williamstownfarmersmarket.org,1
Wilmington Farmers Market,"140 Middlesex Avenue, Wilmington, MA 0188",6/10/2018,10/29/2017,Sunday,0,0,0,0,0,0,1,10:00 AM,1:00 PM,1,,1,42.557608,-71.16431,0,www.wilmingtonfarmersmarket.com/,1
Winchester Farmers Market,"Laraway Road, Winchester, MA 01890",6/9/2018,10/27/2018,Saturday,0,0,0,0,0,1,0,9:30 AM,1:30 PM,1,1,1,42.452363,-71.138046,0,www.winchesterfarmersmarket.org,1
Dalton Farmers Market,"100 Holiday Cottage Rd, Dalton MA 01226",6/7/2018,8/30/2018,Friday,0,0,0,0,1,0,0,4:00 PM,7:00 PM,0,0,1,4.490964,-73.132814,0,www.facebook.com/DowntownDaltonSaturdayMarket/,0
Oak Square Farmers Market,"640 Washington St 2nd floor, Brighton MA 02135",6/13/2018,9/26/2018,Wednesday,0,0,1,0,0,0,0,4:00 PM,Dusk,1,0,1,42.350815,-71.169215,0,www.facebook.com/oaksquarefarmersmarket,0
Codman Square Farmers Market ,"Washington St and Talbot St, Dorechester MA 02124",7/14/2018,9/29/2018,Saturday,0,0,0,0,0,1,0,10:00 AM,1:00 PM,1,0,1,42.290458,-71.071601,0,www.facebook.com/codmansquarefarmersmarket,0
