Market Name,Address,Start Date,End Date,When,Open,Close,Day of Week,Open,Close,SNAP/EBT,SNAP MATCH,HIP
Kingston Farmer Market,101 Kingston Collection Way,6/3/18,10/7/18,1st Sunday of Every Month,10:00 AM,2:00 PM,,,,1,,0
Lenox Farmers Market,St. Ann's Parish; 134 Main St Lenox Ma 01240,5/25/18,9/21/18,Friday,12:30 PM,4:30 PM,,,,1,0,1
Lexington Farmers Market,"Fletcher Ave & Mass Ave., Lexington",5/29/18,10/30/18,Tuesday,2:00 PM,6:30 PM,,,,1,1,1
Marblehead Farmers Market,"217 Pleasant St, Marblehead,MA 01945",5/26/18,11/17/18,Saturday,9:00 AM,12:00 PM,,,,1,0,1
Mattapan Square Farmers Market,City Municipal Parking,7/14/18,10/13/18,Saturday,10:00 AM,1:00 PM,,,,1,,1
Maynard Farmers Market,"Main Street, Mill Pond Parking Lot, Maynard, MA 01754",6/30/18,9/29/18,Saturday,9:00 AM,1:00 PM,,,,0,0,0
Medford Farmers Market,"Condon Shell, 2501 Mystic Valley Parkway, Medford, MA 02155",6/7/18,10/25/18,Thursday,3:00 PM,7:00 PM,,,,1,1,1
Melrose Farmers Market,"Bowden Park on W. Emerson at the Cedar Park train station, Melrose, MA",6/7/18,10/25/18,Thursday,2:00 PM,7:00 PM,,,,1,1,1
Milton Farmers Market,"Wharf Park, Milton Village, Milton, MA 02186",6/14/18,10/25/18,Thursday,1:00 PM,6:00 PM,,,,1,0,1
Newburyport Farmers Market,"50 Water St, Newburyport MA 01950",5/6/18,4/28/19,Sunday,9:00 AM,1:00 PM,,,,1,0,1
Newton Farmers Market,"Cold Spring Park, 1200 Beacon St., Newton Highlands",7/10/18,10/23/18,Tuesday,1:30 PM,6:00 PM,,,,1,0,1
Orleans Summer Farmers Market,"21 Old Colony Way, Orleans MA 02653",5/12/18,8/31/18,Saturday (May to Aug),8:00 AM,12:00 PM,,,,1,1,1
Orleans Fall Farmers Market,"21 Old Colony Way, Orleans MA 02653",9/7/18,11/17/18,Saturday,9:00 AM,12:00 PM,,,,1,1,1
Petersham Friday Market,Town Common,6/8/18,10/19/18,Friday,3:00 PM,6:00 PM,,,,0,0,0
Revere Farmers Market,"249 Broadway, Revere, MA 02151",7/6/18,10/5/18,Friday,12:00 PM,4:30 PM,,,,0,0,1
Rockland Farmers Market,"242 Union St., Rockland MA 02370",6/22/18,9/14/18,Friday,3:00 PM,6:00 PM,,,,0,0,0
Roslindale Village Winter Farmers Market," Roslindale Sons of Italy Hall, 30 Birch St, Roslindale, MA 02131",1/6/18,11/17/18,Saturday,10:00 AM,2:00 PM,,,,1,1,1
Roslindale Village Summer Farmers Market,"Adams Park, Roslindale MA 02131",6/1/18,11/17/18,Saturday,9:00 AM,1:30 PM,,,,1,,
Rowley Farmers Market,rowley town common main street,7/8/18,10/28/18,Sunday,8:00 AM,1:00 PM,,,,0,,0
Sandwich Farmers Market,"164 MA-6A, Sandwich, MA 02563",6/12/18,10/16/18,Tuesday,9:00 AM,1:00 PM,,,,1,0,0
Sheffield Farmers Market,"125 Mains Street, Sheffield, MA 01257",5/25/18,10/5/18,Friday,3:00 PM,6:30 PM,,,,1,0,0
Shrewsbury Farmer Market,100 Maple Ave. Shrewsbury MA 01545,6/13/18,9/26/18,Wednesday,2:30 PM,6:30 PM,,,,1,,1
South Hadley Farmers Market,"Town Common, South Hadley MA",6/14/18,10/11/18,Thursday,2:00 PM,6:00 PM,,,,1,1,1
Sterling Farmers Market,"1 Park St, Sterling MA 01564",5/18/18,11/1/18,Friday,3:00 PM,6:30 PM,,,,1,,1
Swansea Farmers Market @ Stony Creek Farm,"1210 Wilbur Ave, Swansea, Ma 02777",6/3/18,12/2/18,Sunday,10:00 AM,2:00 PM,,,,1,0,0
Wakefield Farmers Market,"Hall Park North Ave, Wakefield MA 01880",6/16/18,10/13/18,Saturday,9:00 AM,1:00 PM,,,,1,1,1
Waltham Farmers Market,"119 School Street, Waltham MA",6/9/18,11/3/18,Saturday,9:30 AM,2:00 PM,,,,1,1,1
West Brookfield Farmers Market,"West Brookfield Town Common, Junction of Rt. 67 and Rt. 9",6/6/18,10/10/18,Wednesday,3:00 PM,6:00 PM,,,,1,0,1
Williamstown Farmers Market,"Spring Street Parking Lot, Williamstown, MA",5/19/18,10/13/18,Saturday,9:00 AM,1:00 PM,,,,0,0,0
Wilmington Farmers Market,"140 Middlesex Avenue, Wilmington, MA 0188",6/10/18,10/29/17,Sunday,10:00 AM,1:00 PM,,,,1,,1
Winchester Farmers Market,"Laraway Road, Winchester, MA 01890",6/9/18,10/27/18,Saturday,9:30 AM,1:30 PM,,,,1,1,1
